Frame,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,
,SpineBase,SpineBase,SpineMid,SpineMid,Neck ,Neck ,Head,Head,ShoulderLeft,ShoulderLeft,ElbowLeft,ElbowLeft,WristLeft,WristLeft,HandLeft,HandLeft,ShoulderRight,ShoulderRight,ElbowRight,ElbowRight,WristRight,WristRight,HandRight,HandRight,HipLeft,HipLeft,KneeLeft,KneeLeft,AnkleLeft,AnkleLeft,FootLeft ,FootLeft ,HipRight  ,HipRight  ,KneeRight  ,KneeRight  ,AnkleRight,AnkleRight,FootRight ,FootRight ,Position
0,198,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,199,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,323,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,354,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,366,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,368,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,250,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,256,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,289,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,290,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,303,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,324,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,306,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,308,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
17,279,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,279,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,273,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,265,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,224,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,205,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,204,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,205,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,325,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,353,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,363,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,364,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,256,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,258,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,277,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,276,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,305,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,322,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,312,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,312,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
18,303,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,304,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
